name,price
Californian Raisins,188.01
Adjustable Dumbbells,92.15
Running Shorts,27.4
Nature Explorer Lens Kit,87.24
Chipotle Black Bean Salad,233.63
Gardening Tools Set,39.58
Almond Joy Bars,219.76
Pepper Jack Cheese Sticks,262.57
Travel Luggage Scale,258.05
Chili Beans in Sauce,57.33
Carrot Ginger Soup,170.09
Garden Tool Belt,205.42
Puff Pastry,14.5
Window Blinds,243.48
Garden Kneeler and Seat,209.84
Bamboo Charcoal Air Purifier Bags,117.88
Mobile Workbench,68.1
Caramel Sauce,193.3
Lemon Herb Chicken,28.15
Spicy Chicken Wings,247.95
Children's Musical Instrument Set,104.87
Smartphone Projector,65.62
Frozen Berry Medley,155.6
Electronic Drum Kit,50.67
Scented Candle Set,221.45
Potato Wedge Seasoning,106.51
Frozen Mixed Berries,55.93
Wireless Charging Pad,197.96
Beach Cover-Up,76.35
Saffron Rice Mix,257.43
Buffalo Sauce,95.8
Bamboo Cutting Board,133.14
Compost Bin,26.64
Cauliflower Gnocchi,147.51
Vegetable Spiralizer,26.6
Coconut Chia Pudding,195.91
Noise Reduction Headphones,110.11
DIY Lip Balm Making Kit,122.79
Bluetooth Headphones,92.44
Wireless Earbuds,268.26
Essential Oil Diffuser,85.88
Cat Tree with Scratching Posts,206.02
Foot Spa Bath Massager,65.18
Portable Grill Cover,278.67
Whisk Set,296.69
Camping Chair with Cooler,10.88
Almond Flour Biscuits,208.29
Luxury Bath Robe,45.64
Tomato Basil Pasta Sauce,83.16
Lightweight Workout Tank,163.23
Nutty Granola Clusters,239.63
Popcorn Chicken,273.98
Frozen Berry Blend,9.78
Dried Mango Slices,4.04
Reclining Camping Chair,219.81
Oven Thermometer,142.98
Mobile Workbench,222.08
Interactive Plush Toy,189.26
Kombucha Drink,161.34
Trainers with Mesh Inserts,39.35
Spinach and Feta Wraps,280.24
Car Windshield Sun Shade,90.83
Kids' Building Blocks,229.09
Wire Shelving Unit,208.97
Smart Wi-Fi Camera,213.17
Handmade Leather Journal,123.65
Puffed Rice Cake,278.34
Ergonomic Mouse Pad with Wrist Support,160.34
Wireless Earbuds,106.47
Athletic Sports Bra,122.42
Chocolate Protein Powder,234.44
Applewood Smoked Bacon,82.57
Nut Butter Cups,221.04
Portable Leaf Blower,94.04
Mini Meatballs,254.06
Sesame Garlic Stir-Fry Sauce,94.92
Digital Photo Frame,232.92
Applewood Smoked Bacon,246.53
Collapsible Colander,45.97
White Rice,103.02
Leather Crossbody Bag,155.54
Beard Grooming Kit,15.46
Fitness Tracker,100.45
Crispy Tofu Bites,278.68
Blackberry Compote,47.38
Frozen Berry Medley,2.48
Wire Shelving Unit,62.76
Asian Noodle Salad Kit,43.27
Wall-Mounted Organizer,290.82
Window Blinds,150.11
Kids' Learning Tablet,225.04
Carrot Sticks,224.85
Smart Wi-Fi Camera,162.12
Vegetable Fried Rice,85.87
DIY Candle Making Kit,291.4
Car Windshield Sun Shade,177.69
Folding Pocket Knife,191.39
Air Fryer,148.21
Vacuum Sealer Machine,291.26
Sweet Potatoes,119.27
Rainbow Veggie Chips,6.01
Coconut Water,234.91
Elderberry Syrup Kit,101.06
Frozen Acai Purée,47.95
Bicycle Lock,4.65
Spaghetti Squash,39.7
Grapes (red),71.64
Leek and Potato Soup,203.58
Laptop Stand,234.82
Ceramic Bakeware Set,158.74
Oven-Baked Chicken Tenders,101.33
Smashed Avocado with Lime,115.54
Overnight Duffle Bag,100.77
Car Vacuum Cleaner,253.85
Cotton Quilted Throw Blanket,36.39
Pressure Washer Accessories Kit,271.84
Indoor Plants,61.27
