name,quantity,price
Garden Tool Set with Carrying Bag,789,39.99
Pepperoni Pizza Roll-Ups,790,5.99
Portable Air Purifier,791,69.99
Pet Water Fountain,792,39.99
Couscous,793,2.49
Spicy Hummus,794,3.49
Interactive Robot Toy,795,34.99
Lentil Soup,796,2.49
LED Flashlight,797,19.99
Shoe Organizer,798,39.99
Set of Measuring Spoons,799,12.99
Almond Flour Biscuits,800,6.49
LED Desk Lamp,801,35
Window Bird Feeder,802,19.99
Bluetooth Tracker,803,19.99
Handheld Vacuum,804,79.99
Electric Milk Frother,805,19.99
Smart Thermos,806,39.99
Fitness Resistance Bands Kit,807,29.99
Gingerbread House Kit,808,6.99
Marinara Sauce,809,3.49
Camping Tent,810,79.99
Berry Smoothie Mix,811,4.99
Cold Brew Coffee Concentrate,812,7.99
Tailored Blazer,813,99.99
Tea Set with Infuser,814,34.99
Smart Plant Monitor,815,24.99
Miso Soup Mix,816,3.29
Patterned Knit Scarf,817,25.99
Almond Flour,818,5.99
Sliced Bread,819,2.99
Wrap Front Midi Skirt,820,44.99
Picnic Blanket,821,29.99
Thai Red Curry Paste,822,3.99
Handheld Vacuum,823,79.99
Vegetarian Stuffed Peppers,824,4.99
Face Mask Set,825,19.99
Hummus Trio Pack,826,5.49
Cucumber,827,0.99
Pumpkin Waffles,828,4.49
Self-Adhesive Wallpaper,829,34.99
Portable USB-C Monitor,830,199.99
Potting Soil,831,15.99
Whole Wheat Pita Bread,832,2.79
Rain Jacket,833,64.99
Savory Italian Herbs,834,2.99
Pet Bed with Removable Cover,835,49.99
Lightweight Travel Backpack,836,39.99
V-Neck Sweater,837,49.99
Collapsible Water Bottle,838,12.99
Children's Musical Instrument Set,839,39.99
Sustainable Wooden Toys,840,29.99
Crispy Chickpeas,841,2.99
Set of Decorative Storage Bins,842,34.99
Silicone Baking Cups,843,10.99
Yoga Mat Carrier,844,12.99
Maple Almond Butter,845,5.49
Laptop Backpack,846,69.99
Slingback Sandals,847,29.99
Tailored Blazer,848,99.99
Personal Blender with Cups,849,34.99
Honey Graham Crackers,850,3.29
Electric Ice Cream Maker,851,59.99
Portable Solar Generator,852,399.99
Sesame Oil,853,3.99
Spinach Feta Wraps,854,4.29
Almond Joy Snack Bars,855,2.99
Crew Neck Sweater,856,39.99
Mechanical Keyboard,857,99.99
Portable Hammock,858,27.99
Pasta Maker Machine,859,59.99
Dill Pickle Chips,860,2.29
Set of Decorative Storage Bins,861,34.99
Hiking Gaiters,862,29.99
Pear and Gorgonzola Salad,863,5.49
Whole Roasted Chicken,864,9.99
Rechargeable Hand Warmer,865,22.99
Dog Training Clicker,866,5.99
Sporty Leggings,867,39.99
Fall-Themed Table Runner,868,19.99
Indoor Grill,869,59.99
Reversible Swimming Pool Lounger,870,34.99
Mini Indoor Herb Garden Kit,871,24.99
Herbal Garden Starter Kit,872,24.99
Travel Mug,873,18.99
Gluten-Free Bread,874,5.49
Buffalo Stilton Cheese,875,8.99
Travel Yoga Mat,876,34.99
Indestructible Dog Toy,877,15.99
Silicone Baking Mat,878,15.99
Electric Hot Pot,879,49.99
Mechanical Pencil Set,880,19.99
Athletic Jogging Jacket,881,49.99
Honey Garlic Shrimp,882,8.49
Chili Lime Seasoning,883,2.99
Protein Bar Variety Pack,884,12.99
Caramelized Onion Dip,885,3.99
Jalapeño Cornbread,886,3.29
Pet Grooming Gloves,887,9.99
Fitness Smartwatch,888,99.99
Cinnamon Sugar Mix,889,1.49
Oversized Denim Shirt,890,49.99
Chili Con Carne Mix,891,2.99
Vintage Button-Down Shirt,892,45.99
Bamboo Cutting Board Set,893,34.99
Vegetable Stock,894,2.49
Spicy Thai Coconut Soup,895,3.99
Whisk Set,896,12.99
Avocado Oil,897,8.49
Action Camera,898,199.99
Indoor Grill,899,59.99
Coconut Oil,900,6.49
Frozen Chicken Nuggets,901,4.49
Granola Cereal,902,4.49
Nutritional Yeast,903,3.59
Cheesy Broccoli Soup Mix,904,2.99
Toilet Paper (12 rolls),905,8.99
Spicy Thai Chili Sauce,906,3.29
Wireless Printer,907,99.99
Portable Electric Fan,908,24.99
Red Lentils,909,1.99
LED Desk Lamp with USB Charging,910,39.99
Compact Hair Dryer,911,29.99
Dried Fruit Medley,912,5.49
Pumpkin Spice Pancake Mix,913,3.49
Wooden Children's Play Kitchen,914,129.99
Basil-infused Olive Oil,915,6.99
Feta Cheese,916,4.99
Buffalo Sauce,917,2.99
Coconut Water,918,2.49
Spicy Thai Noodles,919,1.99
Nut Mix,920,5.99
Kids' Craft Supplies Set,921,24.99
LED Strip Lights with Remote Control,922,29.99
Wine Decanter,923,34.99
Faux Fur Throw Blanket,924,39.99
Multi-Purpose Scissors,925,8.99
Cookbook,926,27.99
Chic Ankle Strap Heels,927,69.99
Classic Pesto Sauce,928,4.29
Tuna Fish (canned),929,2.29
Travel Mug with Leak-Proof Lid,930,24.99
Fitness Tracker with Heart Rate Monitor,931,59.99
Floral Summer Dress,932,39.99
Apple Cinnamon Oatmeal,933,2.89
Dark Chocolate Almond Butter Cups,934,4.99
Wireless Game Controller,935,39.99
Coconut Almond Granola,936,4.99
Fitness Jump Rope with LCD Counter,937,15.99
Spinach Artichoke Dip,938,4.99
Bluetooth Shower Speaker,939,24.99
Crafting Kit,940,29.99
Chicken Breasts,941,9.99
Stick Vacuums Cleaner,942,129.99
Air Mattress,943,49.99
Oven Mitts with Pocket,944,19.99
Protein Powder,945,44.99
Lightweight Travel Backpack,946,39.99
Portable Solar Phone Charger,947,29.99
Mashed Sweet Potatoes,948,3.99
Sweet Potatoes (organic),949,1.99
Pistachio Ice Cream,950,4.99
Silicone Baking Molds,951,15.99
Puzzle Game Set,952,34.99
Strawberry Banana Smoothie Pack,953,4.99
USB-C Hub,954,39.99
Interactive Plush Toy,955,34.99
Smartphone Holder for Car,956,14.99
Mini Indoor Herb Garden Kit,957,24.99
Peas (frozen),958,1.89
LED Strip Lights with Remote Control,959,29.99
Dark Chocolate Bars,960,2.99
Caramel Apple Taffy,961,1.99
Barbecue Chicken Pizza,962,8.99
Sweet and Sour Sauce,963,2.79
Desk Organizer Set,964,29.99
Solar Power Bank,965,39.99
Warm Knit Beanie,966,19.99
Cheddar Cheese Crackers,967,2.29
Savory Italian Herbs,968,2.99
Frozen Hash Browns,969,2.99
Measuring Cups Set,970,19.99
Strawberry Rhubarb Jam,971,4.29
Chickpea Pasta,972,4.19
Wireless Security System,973,299.99
Magnetic Chess Set,974,19.99
Smartphone Car Mount with Wireless Charging,975,39.99
Diced Tomatoes (canned),976,1.49
Organic Black Beans,977,1.29
Chocolate Protein Powder,978,24.99
Protein Powder,979,44.99
Almond Joy Snack Bars,980,2.99
Wall Planner,981,19.99
Honey Wheat Pretzels,982,3.49
Electric Food Steamer,983,59.99
Frozen Acai Bowl,984,6.49
Decorative Throw Blanket,985,39.99
Mechanical Pencil Set,986,19.99
Adjustable Pet Feeder,987,39.99
Peanut Butter Chocolate Chip Bars,988,4.59
Tactical Backpack,989,59.99
Chocolate Raspberry Tart,990,9.99
Smart Wi-Fi Camera,991,89.99
Organic Chia Seeds,992,7.99
Coconut Cream Pie Mix,993,4.99
Men's Waterproof Hiking Boots,994,89.99
Cotton Tote Bag Set,995,29.99
Tabletop Fire Pit,996,79.99
Mango Chutney,997,3.99
Apple Cinnamon Oatmeal,998,2.89
Beet Salad,999,3.99
Cranberry Almond Granola,1000,4.29
